0	1	2	3	target
0	0.191447	0.038193	0.607418	0.414584	64.443440
1	0.758653	0.536518	0.656000	0.360342	18.301380
2	0.438350	0.804340	0.210245	0.151295	0.112940
3	0.706051	0.534192	0.264243	0.482088	4.210898
4	0.836478	0.193610	0.663893	0.785649	258.370525
5	0.683432	0.118663	0.829046	0.567577	78.434389
6	0.553621	0.667350	0.323806	0.814870	57.571537
7	0.352356	0.322242	0.116979	0.473113	109.571876
8	0.153786	0.729382	0.422598	0.443074	8.847992
9	0.463442	0.630025	0.107906	0.957644	233.223610
10	0.677491	0.358510	0.479592	0.072880	24.423088
11	0.583973	0.147243	0.348097	0.428615	64.420147
12	0.306889	0.316878	0.622634	0.095399	63.476716
13	0.511142	0.817957	0.728710	0.112354	79.729130
14	0.438933	0.774092	0.378167	0.933696	355.806818
15	0.224189	0.846480	0.879484	0.878516	1088.859618
16	0.725262	0.479870	0.088947	0.759760	28.866752
17	0.355482	0.639619	0.417618	0.122604	45.181570
18	0.119879	0.862540	0.643331	0.849804	431.612757
19	0.126885	0.153430	0.770162	0.190518	9.972332
